name,min_lat,min_lon,max_lat,max_lon,population_amount
Amsterdam,52.283805,4.761598,52.4208048,4.999186,821752
Den Haag,52.003854,4.251225,52.106453,4.365036,514861
Rotterdam,51.86737,4.426222,51.969106,4.554422,626652
Den Bosch,51.679425,5.260789,51.729902,5.344487,150889
Maastricht,50.825129,5.638053,50.889432,5.733999,122397
Utrecht,52.055803,5.055917,52.148192,5.174606,359376
Lelystad,52.483732,5.428539,52.546815,5.527588,77893
Leeuwarden,53.177461,5.756404,53.221861,5.85084,107691
Groningen,53.176832,6.499371,53.25504,6.625366,200336
Zwolle,52.481727,6.044728,52.544665,6.127997,123861
Enschede,52.185574,6.837326,52.250421,6.931034,158553
Assen,52.966851,6.516145,53.031283,6.610581,67963
Arnhem,51.939749,5.870374,52.014667,5.986659,152293
Middelburg,51.478881,3.588901,51.518407,3.644899,48544
Haarlem,52.339413,4.594254,52.42341,4.67682,235141
